flag_yellow_count,flag_double_yellow_count,flag_red_count,flag_clear_count,safety_car_deployments,virtual_safety_car_deployments,race_id,session,total_sc_laps,total_vsc_laps
1,0,0,1,0,0,73,Qualifying,,
4,4,0,14,1,2,73,Race,5.0,3.0
6,8,0,5,0,1,77,FP1,,
1,2,0,6,0,0,77,FP2,,
1,0,0,5,0,0,77,FP3,,
2,4,1,6,0,0,77,Qualifying,,
1,1,0,2,1,0,77,Race,4.0,0.0
5,0,0,7,0,1,64,FP1,,
6,0,1,6,0,0,64,FP2,,
2,3,2,5,0,0,64,FP3,,
3,8,1,10,0,0,64,Qualifying,,
0,0,0,0,0,0,64,Race,0.0,0.0
8,2,0,9,0,0,72,FP1,,
2,2,2,5,0,0,72,FP2,,
2,2,1,7,0,0,72,FP3,,
1,1,2,4,0,0,72,Qualifying,,
0,1,0,3,0,0,72,Race,0.0,0.0
0,0,0,0,0,0,62,FP1,,
1,0,0,1,0,0,62,FP2,,
3,1,0,7,0,1,62,FP3,,
2,0,0,2,0,0,62,Qualifying,,
0,0,0,1,1,0,62,Race,5.0,0.0
1,0,0,4,0,0,79,FP1,,
1,0,0,1,0,0,79,FP2,,
5,4,1,7,0,0,79,FP3,,
3,0,0,3,0,0,79,Qualifying,,
8,2,0,13,0,1,79,Race,0.0,3.0
2,0,0,3,0,1,74,FP1,,
2,2,1,3,0,0,74,FP2,,
7,3,0,9,0,0,74,Qualifying,,
5,3,0,17,0,0,74,Race,0.0,0.0
1,1,0,3,0,0,80,FP1,,
6,5,1,12,0,0,80,FP2,,
2,4,0,5,0,0,80,FP3,,
1,4,0,6,0,0,80,Qualifying,,
2,7,2,24,1,4,80,Race,0.0,10.0
5,1,2,10,0,4,63,FP1,,
1,0,0,2,0,1,63,FP2,,
1,0,0,1,0,0,63,FP3,,
0,0,0,0,0,0,63,Qualifying,,
1,1,0,3,1,0,63,Race,3.0,0.0
4,2,0,4,0,0,67,FP1,,
6,5,0,11,0,0,67,FP2,,
2,1,0,2,0,0,67,FP3,,
0,0,0,0,0,0,67,Qualifying,,
0,1,0,3,0,0,67,Race,0.0,0.0
0,0,0,0,0,0,75,FP1,,
4,0,0,5,0,0,75,FP2,,
8,1,1,9,0,0,75,FP3,,
8,4,0,11,0,0,75,Qualifying,,
8,0,0,8,0,0,75,Race,0.0,0.0
7,1,1,9,0,0,76,FP1,,
3,0,0,3,0,0,76,FP2,,
3,1,0,3,0,0,76,FP3,,
1,1,0,2,0,0,76,Qualifying,,
1,1,0,5,0,1,76,Race,0.0,1.0
1,0,0,2,0,0,103,FP1,,
0,1,0,1,0,0,103,FP2,,
2,1,1,5,0,0,103,FP3,,
1,0,0,1,0,0,103,Qualifying,,
0,1,0,1,0,0,103,Race,0.0,0.0
2,1,2,6,0,0,84,FP1,,
6,5,1,6,0,0,84,FP2,,
5,1,2,8,0,0,84,FP3,,
16,10,2,22,0,0,84,Qualifying,,
3,5,0,11,2,2,84,Race,8.0,38.0
1,0,2,3,0,0,92,FP1,,
0,0,0,0,0,0,92,FP2,,
2,0,2,4,0,0,92,Qualifying,,
3,3,0,6,0,1,92,Race,0.0,2.0
8,4,0,9,0,2,89,FP1,,
10,6,0,11,0,0,89,FP2,,
4,1,0,8,0,0,89,FP3,,
13,5,1,15,0,0,89,Qualifying,,
5,7,0,13,0,2,89,Race,0.0,5.0
6,3,1,9,0,0,82,FP1,,
0,0,0,0,0,0,82,FP2,,
1,0,0,1,0,0,82,FP3,,
1,1,0,1,0,0,82,Qualifying,,
1,2,0,4,1,1,82,Race,5.0,0.0
1,0,1,9,0,0,95,FP1,,
4,1,0,5,0,0,95,FP2,,
2,0,1,3,0,0,95,FP3,,
0,0,0,2,0,0,95,Qualifying,,
2,5,0,8,1,0,95,Race,3.0,0.0
0,0,0,0,0,0,102,FP1,,
1,1,0,2,0,0,102,FP2,,
1,0,1,2,0,0,102,Qualifying,,
2,2,0,5,2,1,102,Race,12.0,0.0
1,1,0,2,0,0,90,FP1,,
0,0,0,1,0,1,90,FP2,,
8,2,0,8,0,0,90,FP3,,
4,0,1,6,0,0,90,Qualifying,,
3,0,0,7,1,2,90,Race,6.0,3.0
8,5,1,10,0,0,85,FP1,,
0,0,0,1,0,0,85,FP2,,
8,1,5,13,0,0,85,Qualifying,,
3,3,0,4,1,0,85,Race,4.0,0.0
2,0,0,2,0,0,93,FP1,,
0,0,0,0,0,0,93,FP2,,
2,0,0,3,0,0,93,FP3,,
0,0,0,0,0,0,93,Qualifying,,
12,12,0,19,1,2,93,Race,3.0,-1.0
1,0,1,6,0,0,91,FP1,,
0,0,0,1,0,0,91,FP2,,
0,0,0,0,0,0,91,FP3,,
3,0,0,4,0,0,91,Qualifying,,
5,2,1,9,1,0,91,Race,4.0,0.0
1,1,0,2,0,0,94,FP1,,
2,1,0,3,0,0,94,FP2,,
5,1,1,5,0,0,94,FP3,,
0,0,0,0,0,0,94,Qualifying,,
5,2,0,9,0,2,94,Race,0.0,4.0
2,1,0,1,0,0,97,FP1,,
3,0,1,4,0,0,97,FP2,,
1,0,0,1,0,0,97,FP3,,
0,0,0,0,0,0,97,Qualifying,,
2,2,0,5,1,1,97,Race,6.0,1.0
2,1,0,3,0,0,99,FP1,,
1,0,0,1,0,0,99,FP2,,
0,1,0,1,0,0,99,FP3,,
0,0,0,2,0,0,99,Qualifying,,
