race_id,driver_id,team_id,stop_number,stop_lap,pits_time
87,108,4,3,51,22.165
87,101,15,3,52,22.033
87,114,13,3,52,22.316
87,75,3,3,53,21.694
87,12,15,3,53,25.407
87,109,8,4,54,23.404
88,103,14,1,1,26.731
88,111,8,1,1,36.773
88,104,13,1,2,35.486
88,103,14,2,2,32.750
88,111,8,2,2,36.351
88,115,10,1,4,27.637
88,60,14,1,6,24.965
88,114,13,1,6,25.068
88,57,2,1,15,24.796
88,75,3,1,16,24.409
88,108,4,1,17,24.872
88,115,10,2,17,36.854
88,106,1,1,18,25.710
88,94,3,1,18,27.009
88,109,8,1,18,27.231
88,79,4,1,19,26.056
88,117,11,1,19,25.594
88,111,8,3,19,26.910
88,83,11,1,20,25.865
88,93,1,1,21,24.666
88,106,1,2,21,28.034
88,110,2,1,21,25.352
88,12,15,1,21,24.526
88,101,15,1,21,24.875
88,114,13,2,21,26.021
88,75,3,2,22,24.536
88,94,3,2,22,26.930
88,108,4,2,22,24.760
88,57,2,2,22,24.507
88,104,13,2,22,28.770
88,109,8,2,22,31.518
88,60,14,2,23,25.133
88,103,14,3,24,25.650
88,75,3,3,30,19:32.062
88,93,1,2,30,19:34.793
88,94,3,3,30,19:35.575
88,103,14,4,29,19:34.965
88,106,1,3,30,19:36.822
88,114,13,3,29,19:34.444
88,117,11,2,29,19:34.235
88,110,2,2,30,19:37.545
88,108,4,3,30,19:43.029
88,111,8,4,29,19:41.839
88,12,15,2,30,19:42.058
88,57,2,3,30,19:46.281
88,109,8,3,29,19:45.676
88,101,15,2,30,19:46.485
88,83,11,2,30,19:46.699
88,60,14,3,30,19:29.495
88,104,13,3,30,19:29.460
88,79,4,2,30,19:28.673
88,108,4,4,51,24.607
88,114,13,4,56,25.266
89,111,8,1,3,29.395
89,106,1,1,9,23.212
89,110,2,1,9,20.538
89,104,13,1,9,22.698
89,57,2,1,9,21.470
89,60,14,1,9,20.249
89,114,13,1,9,23.083
89,117,11,1,9,23.001
89,87,10,1,9,21.555
89,109,8,1,9,25.577
89,115,10,1,9,26.973
89,75,3,1,16,23.379
89,111,8,2,17,22.069
89,94,3,1,18,21.468
89,12,15,1,18,20.571
89,108,4,1,20,21.443
89,115,10,2,23,22.231
89,109,8,2,29,21.540
89,103,14,1,30,22.059
89,94,3,2,33,20.722
89,75,3,2,33,22.349
89,110,2,2,33,20.527
89,57,2,2,33,20.831
89,79,4,1,33,21.794
89,101,15,1,33,22.638
89,83,11,1,33,20.979
89,114,13,2,38,41.500
90,60,14,1,5,23.406
90,104,13,1,5,23.557
90,87,10,1,7,38.262
90,94,3,1,9,24.217
90,57,2,1,9,23.845
90,114,13,1,9,23.248
90,111,8,1,9,24.020
90,109,8,1,18,23.804
90,110,2,1,19,23.951
90,101,15,1,19,25.684
90,117,11,1,19,24.281
90,79,4,1,19,27.937
90,108,4,1,19,43.032
90,60,14,2,19,23.681
90,93,1,1,20,24.215
90,12,15,1,28,23.779
90,104,13,2,36,23.613
90,111,8,2,37,30.034
90,106,1,1,41,26.199
90,94,3,2,43,23.704
90,108,4,2,42,24.134
90,57,2,2,44,23.841
90,110,2,2,45,24.069
90,103,14,1,47,25.252
90,114,13,2,47,23.450
90,93,1,2,49,24.881
90,109,8,2,48,23.530
90,101,15,2,49,23.945
90,12,15,2,49,25.139
90,83,11,1,49,26.089
90,117,11,2,49,23.980
90,79,4,2,49,24.833
91,94,3,1,1,50:37.323
91,93,1,1,1,50:31.752
91,57,2,1,1,50:46.888
91,106,1,1,1,50:36.360
91,12,15,1,1,50:55.700
91,75,3,1,1,50:34.772
91,108,4,1,1,50:43.215
91,111,8,1,1,50:51.904
91,83,11,1,1,50:55.732
91,79,4,1,1,51:03.314
91,104,13,1,1,50:48.950
91,87,10,1,1,51:03.613
91,60,14,1,1,51:07.301
91,103,14,1,1,51:09.017
91,115,10,1,1,51:05.174
91,114,13,1,1,50:11.861
91,101,15,1,1,49:10.760
91,75,3,2,5,37.302
91,60,14,2,6,29.846
91,94,3,2,12,29.395
91,103,14,2,15,28.632
91,104,13,2,16,29.632
91,114,13,2,18,34.759
91,111,8,2,19,28.829
91,115,10,2,19,29.147
91,93,1,2,20,28.574
91,79,4,2,20,30.262
91,101,15,2,22,30.342
91,87,10,2,22,29.473
91,94,3,3,23,29.296
91,106,1,2,25,28.805
91,79,4,3,32,30.599
91,57,2,2,33,29.837
91,12,15,2,33,28.733
91,108,4,2,34,28.947
91,93,1,3,39,28.435
91,57,2,3,39,28.996
91,79,4,4,38,29.345
91,75,3,3,39,28.155
91,114,13,3,38,29.448
91,12,15,3,39,28.841
91,60,14,3,39,28.540
91,94,3,4,39,28.709
91,115,10,3,39,30.832
91,111,8,3,39,28.438
91,108,4,3,40,28.659
91,103,14,3,40,29.780
92,75,3,1,1,23.681
92,83,11,1,6,24.677
92,110,2,1,11,38.201
92,109,8,1,11,22.301
92,79,4,1,12,21.356
92,104,13,1,12,22.724
92,111,8,1,12,21.722
92,94,3,1,13,22.022
92,108,4,1,14,22.684
92,87,10,1,15,22.205
92,101,15,1,16,21.755
92,115,10,1,16,22.120
92,60,14,1,20,22.112
92,117,11,1,24,22.704
92,106,1,1,26,21.532
92,114,13,1,26,21.749
92,93,1,1,27,21.212
92,12,15,1,27,21.552
92,57,2,1,28,23.026
92,103,14,1,29,21.431
