driver_name,driver_id,race_id,session,avg_pace_soft,std_pace_soft,laps_on_soft,deg_rate_soft,avg_pace_medium,std_pace_medium,laps_on_medium,deg_rate_medium,avg_pace_hard,std_pace_hard,laps_on_hard,deg_rate_hard,avg_pace_intermediate,std_pace_intermediate,laps_on_intermediate,deg_rate_intermediate,avg_pace_wet,std_pace_wet,laps_on_wet,deg_rate_wet
SAI,93.0,1,FP3,,,0,,,,0,,,,0,,109.90599999999999,19.406665315470008,3,,,,0,
SIR,107.0,1,FP3,,,0,,,,0,,,,0,,108.57339999999999,15.529241598996387,5,-0.23559999999999903,,,0,
STR,103.0,1,FP3,,,0,,,,0,,,,0,,105.6135,10.450759234779706,6,0.6252285714285708,,,0,
VAN,100.0,1,FP3,,,0,,,,0,,,,0,,94.233,0.0,1,,,,0,
VER,94.0,1,FP3,,,0,,,,0,,,,0,,91.68,0.0,1,,,,0,
VET,60.0,1,FP3,,,0,,,,0,,,,0,,95.912,0.0,1,,,,0,
GRO,67.0,1,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,1,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,1,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,1,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
RAI,6.0,1,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,1,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
SAI,93.0,1,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
VER,94.0,1,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
VET,60.0,1,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
ALO,12.0,1,Race,88.05429629629631,0.6960145706656401,27,-0.07948290598290597,,,0,,,,0,,,,0,,,,0,
BOT,83.0,1,Race,,,0,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,1,Race,,,0,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,1,Race,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,1,Race,87.39086666666665,0.6828391090797945,30,-0.01720894306293374,,,0,,,,0,,,,0,,,,0,
HAR,105.0,1,Race,91.15969230769231,0.2356116049823668,13,0.0076116811365431495,,,0,,,,0,,,,0,,,,0,
HUL,70.0,1,Race,88.2078888888889,0.8300088947909534,27,-0.0670915750915751,,,0,,,,0,,,,0,,,,0,
LEC,106.0,1,Race,93.591,0.0,1,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,1,Race,,,0,,,,0,,,,0,,,,0,,,,0,
OCO,101.0,1,Race,89.1481111111111,1.3865951459475943,27,-0.04494871794871786,,,0,,,,0,,,,0,,,,0,
PER,75.0,1,Race,88.6672962962963,0.956302052655023,27,-0.074901098901099,,,0,,,,0,,,,0,,,,0,
RAI,6.0,1,Race,87.42969999999998,0.6405235957142138,30,-0.05353611667501241,,,0,,,,0,,,,0,,,,0,
RIC,79.0,1,Race,87.29396296296298,0.6126110167859514,27,-0.05393467643467647,,,0,,,,0,,,,0,,,,0,
SAI,93.0,1,Race,88.64744444444443,0.826025124419856,27,-0.06663858363858366,,,0,,,,0,,,,0,,,,0,
STR,103.0,1,Race,,,0,,,,0,,,,0,,,,0,,,,0,
VAN,100.0,1,Race,,,0,,,,0,,,,0,,,,0,,,,0,
VER,94.0,1,Race,88.07166666666666,0.7127072018406694,27,-0.07793589743589743,,,0,,,,0,,,,0,,,,0,
VET,60.0,1,Race,87.1269259259259,0.47552340955156985,27,-0.010659340659340657,,,0,,,,0,,,,0,,,,0,
ALO,12.0,9,FP1,74.3995,8.277470207000313,18,0.1306591422121899,,,0,,,,0,,,,0,,,,0,
BOT,83.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
ERI,89.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
HAR,105.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
KUB,56.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
LEC,106.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
OCO,101.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
PER,75.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
RAI,6.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,9,FP1,66.42,0.0,1,,,,0,,,,0,,,,0,,,,0,
SAI,93.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
STR,103.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
VAN,100.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
VER,94.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
VET,60.0,9,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
ALO,12.0,9,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
BOT,83.0,9,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
ERI,89.0,9,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,9,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,9,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,9,FP2,69.74918181818181,4.583762424792778,11,-0.043213859540086726,,,0,,,,0,,,,0,,,,0,
HAR,105.0,9,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,9,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
LEC,106.0,9,FP2,72.56,0.0,1,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,9,FP2,73.40275,8.403829495384825,4,5.723099999999996,,,0,,,,0,,,,0,,,,0,
OCO,101.0,9,FP2,73.47208333333334,9.481229099808502,12,0.04110901775450252,,,0,,,,0,,,,0,,,,0,
PER,75.0,9,FP2,74.45830769230768,11.337477391273296,13,-0.05701200891159041,,,0,,,,0,,,,0,,,,0,
RAI,6.0,9,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,9,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
SAI,93.0,9,FP2,71.713,4.762999999999998,2,,,,0,,,,0,,,,0,,,,0,
SIR,107.0,9,FP2,,,0,,,,0,,,,0,,,,0,,,,0,
STR,103.0,9,FP2,71.80938461538462,8.063041471749228,13,0.17341581052196117,,,0,,,,0,,,,0,,,,0,
VAN,100.0,9,FP2,72.67914285714286,11.65812402733539,14,0.17243207042620173,,,0,,,,0,,,,0,,,,0,
VER,94.0,9,FP2,71.34869565217392,6.866999828637164,23,0.010282318473664936,,,0,,,,0,,,,0,,,,0,
VET,60.0,9,FP2,71.07042857142858,9.882018935667851,14,0.1370123551070503,,,0,,,,0,,,,0,,,,0,
ALO,12.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
BOT,83.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
ERI,89.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
HAR,105.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
LEC,106.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
OCO,101.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
PER,75.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
RAI,6.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
SAI,93.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
SIR,107.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
STR,103.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
VAN,100.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
VER,94.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
VET,60.0,9,FP3,,,0,,,,0,,,,0,,,,0,,,,0,
ALO,12.0,9,Qualifying,70.61466666666666,7.670991649642756,3,,,,0,,,,0,,,,0,,,,0,
BOT,83.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
ERI,89.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
HAR,105.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
LEC,106.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
OCO,101.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
PER,75.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
RAI,6.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
SAI,93.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
SIR,107.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
STR,103.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
VAN,100.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
VER,94.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
VET,60.0,9,Qualifying,,,0,,,,0,,,,0,,,,0,,,,0,
ALO,12.0,9,Race,69.6828125,0.5560860865703102,48,-0.02276906105913261,,,0,,,,0,,,,0,,,,0,
BOT,83.0,9,Race,,,0,,,,0,,,,0,,,,0,,,,0,
ERI,89.0,9,Race,70.33139473684211,0.8790675843568758,38,-0.06281105873359653,,,0,,,,0,,,,0,,,,0,
GAS,104.0,9,Race,69.99608333333333,0.6014537192410481,48,0.016378055258479705,,,0,,,,0,,,,0,,,,0,
GRO,67.0,9,Race,69.54139130434781,0.3556607126645852,46,-0.0037540359917474083,,,0,,,,0,,,,0,,,,0,
HAM,57.0,9,Race,68.61628,0.48738654228445777,25,-0.006272307692307753,,,0,,,,0,,,,0,,,,0,
HAR,105.0,9,Race,,,0,,,,0,,,,0,,,,0,,,,0,
HUL,70.0,9,Race,,,0,,,,0,,,,0,,,,0,,,,0,
LEC,106.0,9,Race,69.85258333333333,0.6995706371688917,48,-0.007959020050853053,,,0,,,,0,,,,0,,,,0,
MAG,87.0,9,Race,69.23235294117647,0.4472929611335102,34,-0.015082833860473833,,,0,,,,0,,,,0,,,,0,
OCO,101.0,9,Race,69.71340425531915,0.39254053372892594,47,-0.005918203217688965,,,0,,,,0,,,,0,,,,0,
PER,75.0,9,Race,69.53694285714286,1.406406158422587,35,0.01654983476397115,,,0,,,,0,,,,0,,,,0,
RAI,6.0,9,Race,68.29266666666666,0.6305539672030898,48,-0.03199419676336391,,,0,,,,0,,,,0,,,,0,
RIC,79.0,9,Race,68.63680952380953,0.221059272173911,21,0.026605194805194653,,,0,,,,0,,,,0,,,,0,
