date,driver_id,team_id,position,driver_name,points
31 MAR 2002,23,20,8,Pedro de la Rosa,0
31 MAR 2002,29,18,9,Takuma Sato,0
31 MAR 2002,19,19,10,Jacques Villeneuve,0
31 MAR 2002,27,23,11,Mark Webber,0
31 MAR 2002,6,4,12,Kimi Räikkönen,0
31 MAR 2002,26,23,13,Alex Yoong,0
31 MAR 2002,4,7,NC,Nick Heidfeld,0
31 MAR 2002,16,5,NC,Jarno Trulli,0
31 MAR 2002,30,7,NC,Felipe Massa,0
31 MAR 2002,31,25,NC,Allan McNish,0
31 MAR 2002,7,19,NC,Olivier Panis,0
31 MAR 2002,5,22,NC,Heinz-Harald Frentzen,0
31 MAR 2002,21,22,NC,Enrique Bernoldi,0
31 MAR 2002,3,1,NC,Rubens Barrichello,0
31 MAR 2002,13,18,NC,Giancarlo Fisichella,0
14 APR 2002,1,1,1,Michael Schumacher,10
14 APR 2002,3,1,2,Rubens Barrichello,6
14 APR 2002,18,8,3,Ralf Schumacher,4
14 APR 2002,15,8,4,Juan Pablo Montoya,3
14 APR 2002,14,5,5,Jenson Button,2
14 APR 2002,2,4,6,David Coulthard,1
14 APR 2002,19,19,7,Jacques Villeneuve,0
14 APR 2002,30,7,8,Felipe Massa,0
14 APR 2002,16,5,9,Jarno Trulli,0
14 APR 2002,4,7,10,Nick Heidfeld,0
14 APR 2002,27,23,11,Mark Webber,0
14 APR 2002,21,22,NC,Enrique Bernoldi,0
14 APR 2002,11,20,NC,Eddie Irvine,0
14 APR 2002,6,4,NC,Kimi Räikkönen,0
14 APR 2002,7,19,NC,Olivier Panis,0
14 APR 2002,23,20,NC,Pedro de la Rosa,0
14 APR 2002,28,25,NC,Mika Salo,0
14 APR 2002,5,22,NC,Heinz-Harald Frentzen,0
14 APR 2002,13,18,NC,Giancarlo Fisichella,0
14 APR 2002,29,18,NC,Takuma Sato,0
14 APR 2002,31,25,NC,Allan McNish,0
28 APR 2002,1,1,1,Michael Schumacher,10
28 APR 2002,15,8,2,Juan Pablo Montoya,6
28 APR 2002,2,4,3,David Coulthard,4
28 APR 2002,4,7,4,Nick Heidfeld,3
28 APR 2002,30,7,5,Felipe Massa,2
28 APR 2002,5,22,6,Heinz-Harald Frentzen,1
28 APR 2002,19,19,7,Jacques Villeneuve,0
28 APR 2002,31,25,8,Allan McNish,0
28 APR 2002,28,25,9,Mika Salo,0
28 APR 2002,16,5,10,Jarno Trulli,0
28 APR 2002,18,8,11,Ralf Schumacher,0
28 APR 2002,14,5,12,Jenson Button,0
28 APR 2002,7,19,NC,Olivier Panis,0
28 APR 2002,11,20,NC,Eddie Irvine,0
28 APR 2002,21,22,NC,Enrique Bernoldi,0
28 APR 2002,29,18,NC,Takuma Sato,0
28 APR 2002,13,18,NC,Giancarlo Fisichella,0
28 APR 2002,6,4,NC,Kimi Räikkönen,0
28 APR 2002,23,20,NC,Pedro de la Rosa,0
28 APR 2002,3,1,NC,Rubens Barrichello,0
12 MAY 2002,1,1,1,Michael Schumacher,10
12 MAY 2002,3,1,2,Rubens Barrichello,6
12 MAY 2002,15,8,3,Juan Pablo Montoya,4
12 MAY 2002,18,8,4,Ralf Schumacher,3
12 MAY 2002,13,18,5,Giancarlo Fisichella,2
12 MAY 2002,2,4,6,David Coulthard,1
12 MAY 2002,14,5,7,Jenson Button,0
12 MAY 2002,28,25,8,Mika Salo,0
12 MAY 2002,31,25,9,Allan McNish,0
12 MAY 2002,19,19,10,Jacques Villeneuve,0
12 MAY 2002,5,22,11,Heinz-Harald Frentzen,0
12 MAY 2002,27,23,12,Mark Webber,0
12 MAY 2002,16,5,NC,Jarno Trulli,0
12 MAY 2002,26,23,NC,Alex Yoong,0
12 MAY 2002,11,20,NC,Eddie Irvine,0
12 MAY 2002,4,7,NC,Nick Heidfeld,0
12 MAY 2002,29,18,NC,Takuma Sato,0
12 MAY 2002,7,19,NC,Olivier Panis,0
12 MAY 2002,30,7,NC,Felipe Massa,0
12 MAY 2002,6,4,NC,Kimi Räikkönen,0
12 MAY 2002,21,22,NC,Enrique Bernoldi,0
12 MAY 2002,23,20,NC,Pedro de la Rosa,0
26 MAY 2002,2,4,1,David Coulthard,10
26 MAY 2002,1,1,2,Michael Schumacher,6
26 MAY 2002,18,8,3,Ralf Schumacher,4
26 MAY 2002,16,5,4,Jarno Trulli,3
26 MAY 2002,13,18,5,Giancarlo Fisichella,2
26 MAY 2002,5,22,6,Heinz-Harald Frentzen,1
26 MAY 2002,3,1,7,Rubens Barrichello,0
26 MAY 2002,4,7,8,Nick Heidfeld,0
26 MAY 2002,11,20,9,Eddie Irvine,0
26 MAY 2002,23,20,10,Pedro de la Rosa,0
26 MAY 2002,27,23,11,Mark Webber,0
26 MAY 2002,21,22,12,Enrique Bernoldi,0
26 MAY 2002,28,25,NC,Mika Salo,0
26 MAY 2002,30,7,NC,Felipe Massa,0
26 MAY 2002,7,19,NC,Olivier Panis,0
26 MAY 2002,14,5,NC,Jenson Button,0
26 MAY 2002,15,8,NC,Juan Pablo Montoya,0
26 MAY 2002,19,19,NC,Jacques Villeneuve,0
26 MAY 2002,6,4,NC,Kimi Räikkönen,0
26 MAY 2002,26,23,NC,Alex Yoong,0
26 MAY 2002,29,18,NC,Takuma Sato,0
